time,n_soil,p_soil,k_soil
14/03/23 12:10,0,0,0
14/03/23 12:08,0,0,0
14/03/23 12:06,0,0,0
14/03/23 12:04,0,0,0
14/03/23 12:02,0,0,0
14/03/23 12:00,0,0,0
14/03/23 11:58,0,0,0
14/03/23 11:56,0,0,0
14/03/23 11:54,0,0,0
14/03/23 11:52,0,0,0
14/03/23 11:50,0,0,0
14/03/23 11:48,0,0,0
14/03/23 11:46,0,0,0
14/03/23 11:44,0,0,0
14/03/23 11:42,0,0,0
14/03/23 11:40,0,0,0
14/03/23 11:38,0,0,0
14/03/23 11:36,0,0,0
14/03/23 11:34,0,0,0
08/02/23 14:43,0,0,0
08/02/23 14:41,0,0,0
08/02/23 14:39,0,0,0
08/02/23 14:37,0,0,0
08/02/23 14:18,0,0,0
08/02/23 14:16,0,0,0
08/02/23 14:13,0,0,0
08/02/23 14:11,0,0,0
08/02/23 14:09,0,0,0
08/02/23 14:07,0,0,0
08/02/23 14:05,0,0,0
08/02/23 14:03,0,0,0
08/02/23 14:01,0,0,0
08/02/23 13:59,0,0,0
08/02/23 13:57,0,0,0
08/02/23 13:55,0,0,0
08/02/23 13:53,0,0,0
08/02/23 13:51,0,0,0
08/02/23 13:49,0,0,0
08/02/23 13:47,0,0,0
08/02/23 13:45,0,0,0
08/02/23 13:43,0,0,0
08/02/23 13:41,0,0,0
08/02/23 13:39,0,0,0
08/02/23 13:37,0,0,0
08/02/23 13:35,0,0,0
08/02/23 13:33,0,0,0
08/02/23 12:25,0,0,0
08/02/23 12:23,0,0,0
08/02/23 12:22,0,0,0
08/02/23 12:15,0,0,0
08/02/23 12:13,0,0,0
27/12/22 14:15,0,0,0
27/12/22 14:13,0,0,0
27/12/22 14:11,0,0,0
27/12/22 14:09,0,0,0
27/12/22 14:07,0,0,0
27/12/22 14:05,0,0,0
27/12/22 14:03,0,0,0
27/12/22 14:01,0,0,0
27/12/22 13:59,0,0,0
27/12/22 13:57,0,0,0
27/12/22 13:55,0,0,0
27/12/22 13:53,0,0,0
27/12/22 13:51,0,0,0
27/12/22 13:49,0,0,0
27/12/22 13:47,0,0,0
27/12/22 13:45,0,0,0
27/12/22 13:43,0,0,0
27/12/22 13:41,0,0,0
27/12/22 13:39,0,0,0
27/12/22 13:37,0,0,0
27/12/22 13:35,0,0,0
27/12/22 13:33,0,0,0
27/12/22 13:31,0,0,0
27/12/22 13:29,0,0,0
27/12/22 13:27,0,0,0
27/12/22 13:25,0,0,0
27/12/22 13:23,0,0,0
27/12/22 13:21,0,0,0
27/12/22 13:19,0,0,0
27/12/22 13:17,0,0,0
27/12/22 13:15,0,0,0
27/12/22 13:13,0,0,0
27/12/22 13:11,0,0,0
27/12/22 13:09,0,0,0
27/12/22 13:07,0,0,0
27/12/22 13:05,0,0,0
01/12/22 15:25,0,0,0
01/12/22 15:23,0,0,0
01/12/22 15:22,0,0,0
01/12/22 15:19,0,0,0
01/12/22 15:17,0,0,0
01/12/22 15:16,0,0,0
01/12/22 15:13,0,0,0
01/12/22 15:11,0,0,0
01/12/22 15:09,0,0,0
01/12/22 15:07,0,0,0
01/12/22 15:05,0,0,0
01/12/22 15:03,0,0,0
01/12/22 15:02,0,0,0
01/12/22 14:59,0,0,0
01/12/22 14:57,0,0,0
01/12/22 14:55,0,0,0
01/12/22 14:53,0,0,0
01/12/22 14:51,0,0,0
01/12/22 14:49,0,0,0
01/12/22 14:47,0,0,0
01/12/22 14:45,0,0,0
01/12/22 14:43,0,0,0
01/12/22 14:41,0,0,0
01/12/22 14:40,0,0,0
01/12/22 14:37,0,0,0
01/12/22 14:35,0,0,0
01/12/22 14:33,0,0,0
01/12/22 14:31,0,0,0
01/12/22 14:29,0,0,0
01/12/22 14:27,0,0,0
01/12/22 14:25,0,0,0
01/12/22 14:23,0,0,0
01/12/22 14:21,0,0,0
